ID,type,typeNum,region,regionNum,province,provinceNum,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,conditionNum,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,gardenSurface,hasTerrace,terraceSurface,price
10680282,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1150,4,3.0,130.0,TO_BE_DONE_UP,4,1.0,1.0,2.0,0,0,0,0,0,0.0,1,26.0,495000.0
10680284,HOUSE,1,Flanders,2,Flemish Brabant,4,Halle-Vilvoorde,1742,4,2.0,126.0,TO_RENOVATE,5,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,219000.0
10680285,APARTMENT,2,Wallonie,3,Hainaut,7,Thuin,6460,4,2.0,112.0,UNKNOWN,0,1.0,0.0,2.0,1,0,0,0,0,0.0,1,6.0,200000.0
10680288,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6042,2,2.0,100.0,AS_NEW,1,1.0,0.0,1.0,0,0,0,0,0,0.0,1,40.0,140000.0
10680292,HOUSE,1,Flanders,2,West Flanders,6,Kortrijk,8580,4,2.0,101.0,TO_RENOVATE,5,0.0,0.0,1.0,0,0,0,0,0,0.0,1,0.0,89000.0
10680294,HOUSE,1,Flanders,2,East Flanders,3,Sint-Niklaas,9120,4,2.0,78.0,AS_NEW,1,1.0,0.0,2.0,0,0,0,0,0,0.0,1,0.0,238000.0
10680293,HOUSE,1,Flanders,2,Flemish Brabant,4,Leuven,3200,3,3.0,140.0,JUST_RENOVATED,2,1.0,0.0,2.0,0,0,0,0,1,90.0,1,30.0,365000.0
10680300,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1030,2,1.0,41.0,TO_RENOVATE,5,1.0,0.0,1.0,0,0,0,0,0,0.0,0,0.0,139000.0
10680301,APARTMENT,2,Wallonie,3,Liège,8,Verviers,4800,3,3.0,111.0,GOOD,3,1.0,0.0,1.0,0,0,0,0,0,0.0,0,0.0,135000.0
10680303,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1050,2,1.0,40.0,TO_BE_DONE_UP,4,1.0,1.0,1.0,1,0,0,0,0,0.0,1,3.0,225000.0
10680298,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1400,3,7.0,425.0,UNKNOWN,0,1.0,2.0,4.0,0,0,0,0,1,760.0,0,0.0,795000.0
10680313,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1200,3,1.0,68.0,TO_BE_DONE_UP,4,1.0,0.0,1.0,1,0,0,0,0,0.0,1,0.0,230000.0
10680305,APARTMENT,2,Flanders,2,West Flanders,6,Kortrijk,8500,3,2.0,68.0,TO_RENOVATE,5,1.0,0.0,0.0,1,0,0,0,0,0.0,1,0.0,134000.0
10680310,APARTMENT,2,Flanders,2,West Flanders,6,Oostend,8434,4,2.0,90.0,AS_NEW,1,1.0,1.0,1.0,1,0,0,0,0,0.0,1,15.0,545000.0
10680318,HOUSE,1,Flanders,2,West Flanders,6,Tielt,8780,4,3.0,140.0,UNKNOWN,0,1.0,0.0,0.0,0,0,0,0,1,20.0,0,0.0,375000.0
10680321,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1380,4,6.0,469.0,JUST_RENOVATED,2,1.0,2.0,3.0,0,1,1,0,1,800.0,1,65.0,1785000.0
10680322,APARTMENT,2,Wallonie,3,Namur,10,Namur,5310,4,2.0,95.0,UNKNOWN,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,95.0,335000.0
10680325,APARTMENT,2,Wallonie,3,Namur,10,Namur,5310,4,3.0,95.0,UNKNOWN,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,95.0,320000.0
10680317,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1090,2,2.0,90.0,UNKNOWN,0,1.0,0.0,1.0,1,0,0,0,0,0.0,1,5.0,290000.0
10680326,APARTMENT,2,Wallonie,3,Namur,10,Namur,5310,4,2.0,95.0,UNKNOWN,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,95.0,285000.0
10680327,APARTMENT,2,Brussels,1,Brussels,1,Brussels,1120,4,2.0,75.0,GOOD,3,1.0,0.0,1.0,0,0,0,0,1,170.0,1,20.0,279000.0
10680328,HOUSE,1,Flanders,2,East Flanders,3,Oudenaarde,9700,3,3.0,142.0,TO_BE_DONE_UP,4,0.0,0.0,1.0,0,0,0,0,1,130.0,1,0.0,199000.0
10680332,HOUSE,1,Wallonie,3,Hainaut,7,Ath,7912,4,2.0,120.0,TO_BE_DONE_UP,4,1.0,1.0,1.0,0,0,0,0,1,130.0,1,0.0,149000.0
10680336,HOUSE,1,Flanders,2,Flemish Brabant,4,Halle-Vilvoorde,1630,4,4.0,262.0,AS_NEW,1,2.0,0.0,3.0,0,1,0,0,1,1100.0,1,40.0,785000.0
10680340,HOUSE,1,Flanders,2,East Flanders,3,Aalst,9308,3,4.0,157.0,GOOD,3,1.0,0.0,2.0,0,0,0,0,0,0.0,1,0.0,250000.0
10680333,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1320,4,3.0,225.0,UNKNOWN,0,1.0,0.0,2.0,0,0,0,0,0,0.0,0,0.0,270000.0
10680353,APARTMENT,2,Flanders,2,East Flanders,3,Eeklo,9900,3,2.0,120.0,GOOD,3,0.0,0.0,2.0,1,0,0,0,0,0.0,0,0.0,425000.0
10680355,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1350,4,5.0,212.0,AS_NEW,1,2.0,0.0,3.0,0,1,0,0,1,0.0,1,0.0,599000.0
10680356,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1350,4,5.0,212.0,AS_NEW,1,2.0,0.0,3.0,0,1,0,0,1,0.0,1,0.0,599000.0
10680354,HOUSE,1,Flanders,2,East Flanders,3,Eeklo,9060,2,3.0,155.0,GOOD,3,1.0,0.0,2.0,0,0,0,0,0,0.0,0,0.0,455000.0
10680366,HOUSE,1,Wallonie,3,Namur,10,Namur,5060,2,2.0,125.0,UNKNOWN,0,0.0,1.0,2.0,0,1,0,0,0,0.0,1,0.0,360000.0
10680357,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6060,2,2.0,112.0,TO_RENOVATE,5,1.0,0.0,1.0,0,0,0,0,1,608.0,0,0.0,69000.0
10680365,HOUSE,1,Wallonie,3,Namur,10,Namur,5070,2,2.0,125.0,UNKNOWN,0,0.0,1.0,2.0,0,1,0,0,0,0.0,1,0.0,360000.0
10680368,HOUSE,1,Wallonie,3,Namur,10,Philippeville,5650,4,3.0,298.0,UNKNOWN,0,1.0,0.0,1.0,0,1,0,0,0,0.0,1,0.0,180000.0
10680369,HOUSE,1,Wallonie,3,Namur,10,Namur,5150,4,3.0,154.0,UNKNOWN,0,1.0,0.0,1.0,0,1,0,0,0,0.0,1,0.0,325000.0
10680372,HOUSE,1,Wallonie,3,Namur,10,Namur,5070,2,2.0,125.0,UNKNOWN,0,0.0,1.0,2.0,0,1,0,0,0,0.0,1,0.0,360000.0
10680367,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6010,2,4.0,217.0,UNKNOWN,0,0.0,0.0,3.0,0,1,0,0,0,0.0,1,0.0,220000.0
10680371,HOUSE,1,Wallonie,3,Namur,10,Namur,5060,2,2.0,125.0,UNKNOWN,0,0.0,1.0,2.0,0,1,0,0,0,0.0,1,0.0,360000.0
10680370,HOUSE,1,Wallonie,3,Namur,10,Namur,5060,2,3.0,186.0,UNKNOWN,0,1.0,0.0,2.0,0,1,0,0,0,0.0,0,0.0,199000.0
10680381,HOUSE,1,Wallonie,3,Hainaut,7,Ath,7880,4,4.0,175.0,GOOD,3,1.0,0.0,0.0,0,1,0,0,0,0.0,0,0.0,250000.0
10680374,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1325,4,5.0,177.0,TO_RENOVATE,5,2.0,0.0,3.0,0,1,0,0,1,1090.0,1,50.0,540000.0
10680379,HOUSE,1,Wallonie,3,Luxembourg,9,Arlon,6717,4,3.0,112.0,UNKNOWN,0,1.0,0.0,2.0,0,1,0,0,1,0.0,0,0.0,421500.0
10680380,HOUSE,1,Wallonie,3,Hainaut,7,Tournai,7900,3,3.0,130.0,GOOD,3,1.0,0.0,2.0,0,1,1,0,0,0.0,1,0.0,385000.0
10680377,HOUSE,1,Flanders,2,Antwerp,2,Antwerp,2660,4,3.0,133.0,GOOD,3,2.0,0.0,2.0,0,1,0,0,0,0.0,1,35.0,280000.0
10680373,HOUSE,1,Wallonie,3,Walloon Brabant,11,Nivelles,1325,4,3.0,170.0,TO_RENOVATE,5,1.0,1.0,2.0,0,1,0,0,0,0.0,0,0.0,410000.0
10680384,APARTMENT,2,Flanders,2,Flemish Brabant,4,Leuven,3360,4,2.0,79.0,UNKNOWN,0,1.0,0.0,1.0,1,1,0,0,0,0.0,1,25.0,295000.0
10680385,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2000,1,2.0,91.0,AS_NEW,1,1.0,0.0,0.0,0,1,0,0,0,0.0,0,0.0,368000.0
10680382,HOUSE,1,Wallonie,3,Hainaut,7,Ath,7802,3,3.0,140.0,UNKNOWN,0,0.0,0.0,0.0,0,1,0,0,0,0.0,1,0.0,290000.0
10680389,APARTMENT,2,Flanders,2,Limburg,5,Maaseik,3530,4,3.0,106.0,AS_NEW,1,1.0,0.0,1.0,1,0,0,0,0,0.0,1,53.0,285000.0
10680388,HOUSE,1,Flanders,2,Flemish Brabant,4,Halle-Vilvoorde,1780,4,4.0,250.0,TO_BE_DONE_UP,4,1.0,1.0,2.0,0,1,0,0,1,170.0,1,15.0,620000.0
10680390,HOUSE,1,Flanders,2,West Flanders,6,Kortrijk,8530,4,3.0,160.0,GOOD,3,1.0,0.0,2.0,0,1,0,0,0,0.0,1,0.0,339000.0
10680391,APARTMENT,2,Wallonie,3,Liège,8,Liège,4020,2,1.0,75.0,GOOD,3,1.0,0.0,1.0,0,1,0,0,0,0.0,0,0.0,135500.0
10680393,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6280,4,4.0,196.0,UNKNOWN,0,1.0,0.0,2.0,0,1,0,0,0,0.0,1,0.0,269000.0
