ID,type,region,province,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,epcScore,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,hasTerrace,gardenSurface,terraceSurface,land,price
10661748,APARTMENT,Flanders,East Flanders,Gent,9000,1,1.0,46.0,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,219000.0
10661763,APARTMENT,Flanders,Antwerp,Antwerp,2610,4,3.0,112.0,GOOD,D,1.0,0.0,1.0,1,1,0,0,0,1,0.0,3.0,0.0,233000.0
10661766,HOUSE,Flanders,Antwerp,Turnhout,2360,4,5.0,262.0,TO_RENOVATE,E,2.0,0.0,2.0,0,0,1,0,0,0,0.0,0.0,2000.0,395000.0
10661773,HOUSE,Wallonie,Hainaut,Mouscron,7700,3,3.0,135.0,TO_BE_DONE_UP,D,1.0,0.0,1.0,0,0,0,0,1,1,20.0,0.0,90.0,115000.0
10661761,HOUSE,Wallonie,Hainaut,Ath,7812,4,4.0,246.0,AS_NEW,A,1.0,1.0,3.0,0,0,0,0,1,1,0.0,1.0,3200.0,795000.0
10661767,APARTMENT,Flanders,Antwerp,Turnhout,2300,3,2.0,92.0,GOOD,A,1.0,0.0,1.0,1,0,0,0,0,1,0.0,5.0,0.0,269000.0
10661774,HOUSE,Flanders,Limburg,Tongeren,3700,3,4.0,279.0,GOOD,F,1.0,0.0,0.0,0,1,0,0,0,1,0.0,47.0,207.0,219000.0
10661784,HOUSE,Flanders,Antwerp,Mechelen,2830,4,2.0,118.0,GOOD,C,1.0,0.0,2.0,0,0,0,0,1,0,70.0,0.0,175.0,294000.0
10661781,HOUSE,Flanders,East Flanders,Gent,9000,1,4.0,302.0,GOOD,D,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,159.0,1045000.0
10661787,HOUSE,Flanders,Antwerp,Antwerp,2845,4,3.0,120.0,JUST_RENOVATED,B,1.0,0.0,2.0,0,0,0,0,1,1,50.0,30.0,140.0,280000.0
10661785,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1780,4,2.0,90.0,GOOD,B,1.0,0.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,240000.0
10661782,HOUSE,Flanders,East Flanders,Gent,9840,4,2.0,120.0,GOOD,F,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1290.0,595000.0
10661789,HOUSE,Flanders,West Flanders,Kortrijk,8530,4,3.0,152.0,GOOD,B,1.0,0.0,2.0,0,0,0,0,1,0,320.0,0.0,551.0,375000.0
10661790,HOUSE,Flanders,Antwerp,Antwerp,2930,4,6.0,745.0,GOOD,UNKNOWN,5.0,0.0,0.0,0,0,1,1,1,0,1000.0,0.0,6457.0,4485000.0
10661805,APARTMENT,Brussels,Brussels,Brussels,1040,2,4.0,382.0,JUST_RENOVATED,D,3.0,2.0,0.0,1,0,0,0,0,1,0.0,6.0,0.0,1490000.0
10661799,HOUSE,Flanders,East Flanders,Gent,9890,4,4.0,211.0,GOOD,D,1.0,0.0,2.0,0,0,0,0,0,1,0.0,0.0,399.0,325000.0
10661806,HOUSE,Wallonie,Liège,Verviers,4910,4,4.0,197.0,GOOD,C,1.0,0.0,2.0,0,0,0,0,1,1,1000.0,100.0,1200.0,595000.0
10661800,HOUSE,Flanders,East Flanders,Oudenaarde,9630,4,3.0,106.0,GOOD,D,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,1600.0,475000.0
10661807,APARTMENT,Flanders,Antwerp,Antwerp,2600,3,2.0,91.0,GOOD,C,0.0,0.0,1.0,1,0,0,0,0,1,0.0,0.0,0.0,275000.0
