ID,type,subtype,region,province,district,locality,localityType,postalCode,address,latitude,longitude,condition,constructionYear,price,pricePerMeter,bedroomCount,netHabitableSurface,floor,floorCount,hasLift,facadeCount,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,kitchen,bathroomCount,showerRoomCount,toiletCount,fireplaceExists,hasSwimmingPool,hasAirConditioning,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10630411,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Koekelberg,2,1081,,,,JUST_RENOVATED,,195000.0,3421.0,1.0,57.0,1.0,3.0,,2.0,,,,,,USA_INSTALLED,1.0,0.0,1.0,False,,,,,,205.0,D,True,
10630415,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,Knokke,3,8300,,,,AS_NEW,1970.0,599000.0,9820.0,2.0,61.0,2.0,5.0,True,2.0,,,,,,HYPER_EQUIPPED,1.0,0.0,1.0,False,,,,,,,,True,
10630417,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,2,1082,Rue Louis Braille 5,50.8619703,4.289193,GOOD,1966.0,249000.0,3037.0,2.0,82.0,1.0,3.0,False,2.0,,,True,,,USA_HYPER_EQUIPPED,1.0,0.0,1.0,False,False,,,,,192.0,D,True,
10630414,APARTMENT,APARTMENT,Wallonie,Namur,Namur,Gembloux,2,5030,Chaussee de Namur 128,50.5532072,4.7074153,AS_NEW,2012.0,330000.0,2558.0,3.0,129.0,2.0,,True,2.0,,,True,4.0,,USA_INSTALLED,2.0,1.0,2.0,False,,,1.0,1.0,,109.0,B,True,
10630430,APARTMENT,DUPLEX,Flanders,Antwerp,Antwerp,Antwerp,1,2000,Groendalstraat 24,51.2175055,4.404911,GOOD,1908.0,375000.0,3378.0,2.0,111.0,3.0,3.0,False,2.0,,,True,,,HYPER_EQUIPPED,1.0,0.0,1.0,False,,,,,,342.0,D,True,
10630428,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Anderlecht,2,1070,,,,GOOD,1970.0,239000.0,2656.0,2.0,90.0,5.0,9.0,True,2.0,,,True,40.0,,,1.0,1.0,1.0,False,False,,1.0,1.0,,259.0,E,,
10630445,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Uccle,4,1180,Avenue De Fré 263,50.8038452,4.3656524,GOOD,1969.0,485000.0,3789.0,3.0,128.0,2.0,6.0,True,,,,True,22.0,,,2.0,1.0,2.0,False,False,,1.0,,,170.0,D,True,
10630432,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,2,1080,Boulevard Louis Mettewie 67,50.8555642,4.3057211,GOOD,,205000.0,1414.0,3.0,145.0,23.0,26.0,,,,,True,,,,1.0,1.0,2.0,False,,,1.0,1.0,,239.0,E,True,
10630433,APARTMENT,APARTMENT,Wallonie,Hainaut,Mons,Mons,1,7000,Parc de la Sablonnière 18,50.4591744,3.9833073,AS_NEW,,215000.0,2622.0,2.0,82.0,3.0,4.0,,2.0,,,True,,,,1.0,0.0,,False,,,,,,68.0,A,,
10630429,APARTMENT,GROUND_FLOOR,Brussels,Brussels,Brussels,Ixelles,2,1050,Rue Godecharle 10,50.8369216,4.3728278,AS_NEW,2005.0,305000.0,5648.0,1.0,54.0,0.0,5.0,True,4.0,,,,,,USA_HYPER_EQUIPPED,1.0,1.0,1.0,False,False,,,,,447.0,G,True,
10630450,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,Vilvoorde,3,1800,Riddersstraat 37,50.9283719,4.4287711,GOOD,1969.0,290000.0,1986.0,3.0,146.0,0.0,,False,2.0,,,True,,,USA_HYPER_EQUIPPED,2.0,2.0,2.0,False,,,,,,127.0,B,,
10630460,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,Tremelo,4,3120,Astridstraat 12,50.9909493,4.7069878,AS_NEW,2021.0,410000.0,3942.0,2.0,104.0,0.0,,True,,,,True,,,HYPER_EQUIPPED,1.0,0.0,1.0,False,,,1.0,1.0,,33.0,A,True,
10630455,APARTMENT,TRIPLEX,Wallonie,Namur,Namur,Fosses-la-Ville,2,5070,,,,TO_RENOVATE,1951.0,99999.0,388.0,4.0,258.0,0.0,2.0,False,2.0,,,,,,SEMI_EQUIPPED,1.0,1.0,2.0,False,False,,,,,337.0,D,True,
10630560,APARTMENT,APARTMENT,Wallonie,Liège,Liège,Herstal,2,4040,"Esplanade de la Paix 8,153",50.6562096,5.6143687,TO_BE_DONE_UP,1967.0,119000.0,1608.0,2.0,74.0,8.0,,,2.0,,,,,,,1.0,0.0,1.0,False,,,,,,203.0,C,True,
10630462,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,Tremelo Baal,4,3128,Baalsebaan 315,50.9955636,4.7524517,GOOD,1974.0,225000.0,2045.0,2.0,110.0,0.0,,False,3.0,,,True,,,USA_HYPER_EQUIPPED,1.0,0.0,1.0,False,,,1.0,2.0,,262.0,C,True,
10630561,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Schaerbeek,2,1030,Rue Du Saphir - Saffierstraat 46,50.8534928,4.3989222,GOOD,,285000.0,3851.0,2.0,74.0,1.0,1.0,False,2.0,,,,,,INSTALLED,,1.0,,False,False,False,,,,189.0,D,False,
10630595,APARTMENT,APARTMENT,Wallonie,Walloon Brabant,Nivelles,Nivelles,3,1400,Boulevard de la Dodaine 50,50.5946843,4.3225465,GOOD,,159000.0,3878.0,1.0,41.0,6.0,,True,,,,,,,,1.0,0.0,,False,,,,,,135.0,B,,
10630582,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,Heist-op-den-Berg,4,2220,Leo Kempenaersstraat 34A,51.028535,4.694302,GOOD,2017.0,325000.0,3095.0,2.0,105.0,0.0,,True,2.0,,,True,14.0,,HYPER_EQUIPPED,1.0,1.0,2.0,False,,,,1.0,,131.72,B,True,
10630644,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Merksem,4,2170,Bredabaan 197,51.239026,4.4372297,JUST_RENOVATED,,195000.0,2191.0,2.0,89.0,2.0,,False,1.0,,,,,,INSTALLED,1.0,0.0,,False,False,False,,,,278.0,C,True,
10630633,APARTMENT,SERVICE_FLAT,Flanders,East Flanders,Gent,Gent,1,9000,Sint Michielsstraat 13,51.0539067,3.7178208,,2017.0,199000.0,,1.0,,0.0,,,,,,,,,,,0.0,,False,,,,,,,,,
10630651,APARTMENT,DUPLEX,Flanders,Antwerp,Antwerp,Antwerp,1,2000,Zirkstraat 35,51.222956,4.4014494,,,324000.0,3273.0,2.0,99.0,1.0,2.0,True,2.0,,,,,,HYPER_EQUIPPED,2.0,0.0,2.0,False,,,,,,162.0,B,True,
10630654,APARTMENT,APARTMENT,Wallonie,Hainaut,Mouscron,Mouscron,3,7700,,,,GOOD,2010.0,179000.0,2387.0,1.0,75.0,1.0,,True,2.0,,,True,,,INSTALLED,1.0,1.0,1.0,False,False,,,,,105.0,B,True,
10630605,HOUSE,VILLA,Wallonie,Walloon Brabant,Nivelles,Waterloo,4,1410,,,,TO_RENOVATE,1930.0,2250000.0,4727.0,5.0,476.0,,,,3.0,,,True,,5000.0,USA_INSTALLED,4.0,0.0,,False,False,,2.0,5.0,,251.0,C,True,
10630679,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Wolstraat 7,50.9600996,3.1187228,,,413500.0,3362.0,3.0,123.0,2.0,,False,,,,True,37.0,,,1.0,0.0,2.0,False,,False,,,,,,False,
10630681,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Wolstraat 7,50.9600996,3.1187228,,,448000.0,3642.0,3.0,123.0,2.0,,False,,,,True,37.0,,,1.0,0.0,2.0,False,,False,,,,,,False,
10630685,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,Gent,1,9000,Filaturestraat 20 302,51.0666445,3.7103651,GOOD,2018.0,395000.0,3238.0,2.0,122.0,3.0,,True,,,,True,13.0,,,1.0,0.0,1.0,False,,False,1.0,,,56.0,A,True,
10630680,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Wolstraat 7,50.9600996,3.1187228,,,235500.0,4205.0,1.0,56.0,0.0,,False,,True,16.0,True,9.0,,,1.0,0.0,1.0,False,,False,,,,,,False,
10630656,APARTMENT,APARTMENT,Wallonie,Namur,Namur,Erpent,3,5101,Chaussée de Marche 490,50.4451605,4.8995331,AS_NEW,2012.0,215000.0,3308.0,1.0,65.0,2.0,3.0,True,2.0,True,315.0,True,10.0,,INSTALLED,1.0,1.0,1.0,False,False,,,1.0,,83.0,A,True,
10630682,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Wolstraat 7,50.9600996,3.1187228,,,314000.0,3651.0,2.0,86.0,0.0,,False,,True,49.0,True,17.0,,,1.0,0.0,1.0,False,,False,,,,,,False,
10630678,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Wolstraat 7,50.9600996,3.1187228,,,329000.0,3739.0,2.0,88.0,1.0,,False,,,,True,35.0,,,1.0,0.0,1.0,False,,False,,,,,,False,
10630769,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Etterbeek,2,1040,Pl. du Roi Vainqueur 28,50.8324969,4.397239,GOOD,1960.0,269000.0,2989.0,1.0,90.0,3.0,6.0,True,3.0,,,True,6.0,,,,1.0,,False,False,,1.0,,,,,True,
10630727,APARTMENT,LOFT,Wallonie,Liège,Verviers,Andrimont,4,4821,Rue de renoupré 60,50.6044108,5.8878292,JUST_RENOVATED,1903.0,169500.0,781.0,2.0,217.0,1.0,2.0,,3.0,,,True,13.0,,,1.0,0.0,2.0,False,,,,,,,,True,
10630776,APARTMENT,GROUND_FLOOR,Brussels,Brussels,Brussels,Anderlecht,2,1070,,,,GOOD,,159000.0,2092.0,1.0,76.0,0.0,3.0,False,2.0,,,True,20.0,,NOT_INSTALLED,1.0,0.0,1.0,False,False,,,,,432.0,G,True,
10630847,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,Hasselt,3,3500,Toekomststraat 2,50.9269328,5.3388387,GOOD,,289000.0,,2.0,,0.0,,,3.0,,,,,,,,0.0,,False,,,,,,,,,
10630781,APARTMENT,GROUND_FLOOR,Brussels,Brussels,Brussels,Uccle,4,1180,Rue de Stalle 40,50.7988842,4.3338443,AS_NEW,2021.0,645000.0,4886.0,3.0,132.0,0.0,3.0,True,,True,85.0,True,16.0,,USA_HYPER_EQUIPPED,2.0,1.0,3.0,False,False,,34.0,34.0,,,,True,
10630780,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Schoten,3,2900,L.Weijtenstraat  35,51.2515392,4.4921785,AS_NEW,1989.0,230000.0,,2.0,,2.0,2.0,False,2.0,,,True,9.0,,INSTALLED,1.0,1.0,1.0,False,False,False,,,,182.0,B,True,
10630907,APARTMENT,LOFT,Flanders,West Flanders,Brugge,Brugge,1,8000,Leopold II-laan 33,51.2198713,3.2178472,AS_NEW,2006.0,825000.0,4558.0,3.0,181.0,5.0,6.0,True,3.0,,,True,,,HYPER_EQUIPPED,1.0,0.0,1.0,False,False,,,1.0,,215.0,C,,
10630894,APARTMENT,APARTMENT,Wallonie,Liège,Liège,Ans,4,4430,"Rue Gilles Magnée 1,24",50.6599362,5.5320238,TO_BE_DONE_UP,,169000.0,2414.0,2.0,70.0,3.0,5.0,True,,,,,,,SEMI_EQUIPPED,1.0,0.0,1.0,False,False,,1.0,,,175.0,C,True,
10630912,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,2,1080,Rue du Menuet 4,50.8482903,4.2974796,TO_BE_DONE_UP,1966.0,195000.0,2167.0,2.0,90.0,1.0,5.0,True,2.0,,,True,2.0,,,1.0,0.0,1.0,False,False,,1.0,,,252.0,E,,
10630917,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Antwerp,Lint,4,2547,Groenstraat 8,51.1326264,4.4790239,AS_NEW,,399000.0,,2.0,,0.0,3.0,False,,True,80.0,True,20.0,,INSTALLED,1.0,0.0,1.0,False,False,True,1.0,2.0,,,,True,
10630915,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Anderlecht,2,1070,Quai de l'Industrie 225,50.8392376,4.3194891,AS_NEW,2011.0,318000.0,2944.0,2.0,108.0,2.0,4.0,True,2.0,,,,,,USA_INSTALLED,1.0,1.0,1.0,False,,,,1.0,,111.0,C,True,
10630925,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,Oostende,3,8400,"Acacialaan 7,0102",51.2152368,2.8812795,GOOD,,159000.0,2038.0,2.0,78.0,1.0,,False,,,,True,,,INSTALLED,,0.0,1.0,False,False,,1.0,,,111.0,B,True,
10630929,APARTMENT,APARTMENT,Brussels,Brussels,Brussels,Schaerbeek,2,1030,,,,TO_RENOVATE,1930.0,239000.0,3464.0,1.0,69.0,0.0,3.0,,2.0,True,25.0,,,,NOT_INSTALLED,,1.0,1.0,True,,,,,,587.0,G,True,
